l,mu,rho,eta,dp_dx,B,Y,MI-DL_pi1,SI-DL_pi1
1.0,0.005978529374,0.7425460972,3.828271916,0.1917229543,0.8691731503,136.5574302147499,15.877493164122068,15.492364344639167
1.0,0.005841439861,0.1702529896,0.4410863874,0.2062220552,0.8079146805,32.15445054812538,10.08812554855917,10.19985883214423
1.0,0.0075667114,0.7918359073,0.140593159,0.2866594648,0.5842314936,121.0022670050709,15.823729087838398,15.871186919195852
1.0,0.005436088919,1.776222979,0.9243994588,0.1923915609,0.1577529139,403.41232389110155,22.698519738679654,21.46021157959883
1.0,0.001461890394,2.239553995,1.788690122,0.1551156946,0.2385292588,5501.3442788643315,54.792638966047754,51.62708744052017
1.0,0.008078981993,0.1144255296,0.145625775,0.3427515129,0.2733598781,20.31707860552898,8.439236008071962,8.427572066912994
1.0,0.001324126126,1.172897197,0.4940199783,0.1952902869,0.8558621099,5807.71186529087,50.77533723508047,50.26648438423921
1.0,0.003862542745,6.069285544,0.7745213261,0.461425693,0.1303202341,6284.6271552206,57.55226820333175,53.291096879374216
1.0,0.005464358011,0.3273862232,0.1669088287,0.2053858486,0.3119517651,74.32854152688587,13.11247625784562,13.037130137180874
1.0,0.001207757212,6.147688707,0.4579187393,0.2062511741,0.1451602971,28182.01334550599,95.8602030587971,89.71485978693894
1.0,0.002999622112,1.670646738,1.979157923,0.3078730651,0.1906654106,1984.3607979497287,38.69318918821794,36.20670678447757
1.0,0.002485956166,0.1092911041,4.426167383,0.2774344691,0.3312550802,171.0057624240181,17.038600775005392,16.35878302632107
1.0,0.002328289925,0.4613084219,4.626280175,0.1730409236,0.1140836786,514.3548571719846,24.633967140029867,22.85141285825463
1.0,0.004355941721,0.5567216041,0.8754146441,0.3951408044,0.3200655631,399.8067357628855,22.686971285461844,21.892132658878904
1.0,0.00204891913,0.895463313,1.983351185,0.3206968576,0.3311443876,2370.5262570395666,41.03419509152627,39.03586025906808
1.0,0.002559964711,0.2750053973,0.3493436336,0.1819542093,0.1416567885,264.1456345561005,19.736880033921423,19.068082074110038
1.0,0.005896449825,0.8976377858,0.2067154068,0.1886432807,0.6862700346,145.28620240071677,16.946621255354323,17.007461490387474
1.0,0.004014436819,4.772138175,6.541906953,0.2873272131,0.5496230936,2927.0247421443028,44.16505212978556,41.50998971787657
1.0,0.001729674095,0.2273629559,2.494884544,0.2729399246,0.1028388497,724.0686630718717,27.603472000204242,25.75477772261345
1.0,0.005376335381,8.591763512,3.483508538,0.3452599355,0.1415852703,3506.4238996990503,47.10796814199206,42.95719082774309
1.0,0.001351417211,0.9204439821,1.543780005,0.1928458061,0.7076638939,3493.9399007748784,46.05813648078544,44.86178669608373
1.0,0.001766620947,4.159565306,0.138998838,0.2578237356,0.1414140256,11476.848471579478,70.2748045710357,66.87555534749325
1.0,0.004781093305,0.128156108,1.29512151,0.3356786889,0.6823443305,62.907425280925146,12.353334855564864,12.24817704106696
1.0,0.009465308301,2.658357991,0.1077694172,0.3604306418,0.4568136774,343.46622428729864,22.047454418950753,21.818189798716666
1.0,0.004269809151,5.412611348,0.8977564209,0.1468960074,0.1076817512,1519.5355577689318,35.37075018464397,32.88829637998984
1.0,0.00198172345,9.528579409,6.913194521,0.1367152174,0.3536274671,10862.503628259685,69.57465157884326,64.49769594861996
1.0,0.006499254338,0.1547776406,0.3157979962,0.4469382586,0.1174218326,57.20385617683849,11.816059219043531,11.390879513182409
1.0,0.008557453035,7.855085935,4.99608404,0.1342432253,0.2655827408,502.86777131308,24.444579041958598,22.76542397053642
1.0,0.002760934168,0.2160684558,5.425474218,0.1389460333,0.3775227882,137.31468538476472,15.833905545468044,15.220462745044074
1.0,0.006185716609,1.61014431,3.712341265,0.30738645,0.4019903193,450.58768364030396,23.557008811435036,22.346528510812966
1.0,0.002315912747,6.991942196,1.269711209,0.1315343552,0.4703794804,5907.0086057430635,55.7229751266332,53.27471376979717
1.0,0.009798344805,6.119444409,0.5231863846,0.3888476785,0.5921783303,849.0715804237498,29.215479118617704,28.338311893156963
1.0,0.001407822381,0.3187527042,0.3516566744,0.3070456598,0.7380531906,1580.0558363890912,36.69366591093402,36.604306436981275
1.0,0.006366859555,0.1479047277,0.2427985424,0.1525403449,0.2513302924,18.99221623169828,8.229038020395434,8.178984857435585
1.0,0.005961309017,4.53892098,0.6706172784,0.2400460483,0.1462213587,1069.6596051856288,31.430395168615945,29.510404957494828
1.0,0.00990311065,0.1470406535,0.6803779814,0.201285711,0.1473597441,10.561569559179468,6.721933317845022,6.5109407981640794
1.0,0.007272138195,0.1405879384,0.2061319235,0.1195846987,0.1278457455,11.062282917653734,6.8329683367883804,6.713984107045907
1.0,0.00557982676,1.09037287,0.1688836015,0.1693549783,0.1352248857,205.54628889060265,18.142722035002784,17.532852266735134
1.0,0.00128593451,0.3605125868,1.70677311,0.4067360047,0.1745782477,3050.446062412998,44.77208048521035,42.162440213893944
1.0,0.006445976282,0.1152116288,0.5575733531,0.4658202554,0.5009179612,43.362581198324264,10.895112948650906,10.825488658200328
1.0,0.005151456847,7.122233387,0.5806907465,0.1228741874,0.103346521,1150.8026448755083,32.21511149829666,30.082000538564735
1.0,0.002715282577,0.4615579755,3.136482568,0.1874345434,0.1568503243,409.78503772895476,22.81927933381725,21.43163584666873
1.0,0.001388414048,9.484878117,1.345396303,0.1081299565,0.5032856254,18607.69314770365,81.28459088157072,77.55745241268268
1.0,0.001198110896,0.1013754272,0.226286992,0.1863262218,0.6457028399,332.60324080809875,23.589281229179544,23.880690859242574
1.0,0.00453832145,0.734820988,0.1867511859,0.3358912315,0.801040233,334.07916391280514,22.877077277568727,22.97932304726809
1.0,0.001570108646,0.5315686221,7.857875438,0.1444794988,0.1991107634,1087.1977973692221,31.611597819443826,29.49437565979058
1.0,0.005314621423,1.405201333,7.315520954,0.1229917075,0.4544391583,213.93200934909802,18.35173516686839,17.45465066386342
1.0,0.004714664005,0.8595634906,0.2884814788,0.498386603,0.2012610012,667.0294040775342,26.880143277764,25.864532567797493
1.0,0.005988977044,0.2581264089,2.590540155,0.1485241549,0.1240069196,37.47581006132577,10.2630454015608,9.7006623733781
1.0,0.001581960371,0.4450942517,0.2647297218,0.1857615645,0.6650206221,967.3989251499308,32.08706527675229,32.09689338159826
1.0,0.00193183155,1.477315224,0.1340831784,0.1085103522,0.1643982425,1483.572245399193,35.09135146999903,34.06066415531967
1.0,0.003132619313,1.337387716,0.6820592546,0.1555559558,0.4276252043,719.4183326763598,27.725457340801224,27.00001774960042
1.0,0.005620576033,0.1590199138,1.791160606,0.265858192,0.1244085945,46.90460383800974,11.058936055698013,10.489564102904685
1.0,0.003942683118,0.9745980583,1.732018591,0.391989566,0.2627920253,856.005682328888,29.178210668903834,27.657038801131907
1.0,0.001329196625,7.542150611,1.143382203,0.1313201404,0.6344277756,21611.907749066664,82.6713373486365,79.48847473021894
1.0,0.003559987676,4.920824239,1.010562883,0.4110666801,0.5553741408,5528.426516912281,54.399120292372324,52.121349481518926
1.0,0.003461152069,0.5023430471,1.570845865,0.1713824243,0.1281980048,251.51252206195738,19.373041209759506,18.277073874671565
1.0,0.004531756356,7.71168809,6.569249238,0.1320591043,0.123391738,1725.1683938000713,36.97370963837958,33.61257917473289
1.0,0.002767257607,7.158615402,1.210262761,0.2054304307,0.3064381862,6480.07438786533,57.91724490564906,54.66527706472066
1.0,0.00113415269,2.88477448,0.159448959,0.1462590597,0.1337374508,11061.40753885443,69.18146384398415,66.01477861461638
1.0,0.007064385904,0.1650949068,0.1417883543,0.4234664297,0.7304284198,41.31574774237842,11.176173385913355,11.373666645276801
1.0,0.002602767345,6.74626468,0.2428541715,0.1629281165,0.2607183915,5636.088683558601,54.68833845722581,52.53532035843243
1.0,0.002233312343,1.189136503,0.1111985183,0.2117573646,0.3713942224,1695.922028372734,36.98618885493205,36.58571688109847
1.0,0.002805175015,0.1375558002,0.3450654741,0.295739184,0.120989105,179.8450584579479,17.332846525461964,16.718271030420233
1.0,0.009047649673,0.4972455544,0.1197686415,0.1197624857,0.1918106213,24.92990366467992,9.000045542348007,8.906022423857017
1.0,0.003646360015,0.765905293,1.39493635,0.1063453305,0.6370582637,204.37489737108444,18.31870492698121,18.00362582917867
1.0,0.002641712868,0.1458990823,3.367568853,0.380209481,0.4476054082,274.6142952607877,20.003665764150657,19.32042061255963
1.0,0.00115388602,0.4192223586,1.605619093,0.1428467928,0.4497404079,1555.8579354255155,35.63330105307134,34.592809744434234
1.0,0.008795267265,0.1127682517,1.672537198,0.2034491194,0.6077075946,10.216732480648544,6.671889785048075,6.625896821430684
1.0,0.001015863995,0.1393645528,8.055350428,0.1858622861,0.5688065011,866.9458687874032,29.351963502063924,28.279623254459203
1.0,0.001180911291,0.6674564403,0.2890003569,0.3345259066,0.2617380513,5537.472173763098,54.41881251732774,52.67825157545591
1.0,0.008657283417,0.2506834518,2.948644422,0.4599656415,0.7173326376,53.17536272571114,11.561799882374004,11.300613313532066
1.0,0.001227236113,0.6575707558,0.1012023259,0.1678094514,0.1263098855,2526.799187162149,41.93252232448348,40.628073060043995
1.0,0.001676502905,0.2789133692,4.111150716,0.1824927317,0.1540857452,631.792940110465,26.373139434306502,24.735464989960292
1.0,0.00299380874,1.246007931,0.2883909863,0.1263613275,0.9440580686,470.79050280028247,25.986449227398214,26.119982809299582
1.0,0.001485083446,3.383733714,0.1801906303,0.2561639087,0.1778587609,13254.735514096295,73.47558690933226,70.16139644753221
1.0,0.005918638843,2.617665868,1.961686168,0.2082196965,0.1316963778,543.3520821250328,25.086970860594747,23.32106393734399
1.0,0.003872266161,1.817229361,0.7247346985,0.4877459814,0.5874535964,2057.3702215253097,39.03368389857138,37.86495014316338
1.0,0.001307020674,4.173616887,0.8050043651,0.151299916,0.1480460248,12172.478807260844,72.08794069781419,67.43906702861703
1.0,0.002895000596,0.8420348562,4.518627676,0.2280157066,0.43026787,796.588863953333,28.493864482359285,27.133764613484
1.0,0.002309578411,0.2982837736,0.2461496078,0.1046215942,0.5731168903,166.9585194392693,18.010520109558474,18.13653125566762
1.0,0.00195279264,6.018576198,1.301519347,0.4906715406,0.1556775154,24748.109959620422,92.33617660808805,85.05991714866532
1.0,0.001943384648,1.302825982,0.1372073219,0.4140546088,0.1063854071,4839.0795272536925,52.44898392744789,49.87191625154436
1.0,0.003179530925,3.694210003,0.1810000518,0.1068136273,0.3786722704,1320.855024247106,33.96338591074633,33.340540910205775
1.0,0.002068514911,8.96308803,2.688147835,0.134526612,0.2520085798,9310.106437375318,65.87653900025116,61.31584193634409
1.0,0.005594489786,0.6613564033,0.2646749997,0.4539464673,0.3287586175,324.1364920449502,21.27873787493118,20.814823254683077
1.0,0.009302702175,5.355139794,0.155247639,0.3566405885,0.7360108706,693.5936847677193,28.06646756967711,27.81606764573888
1.0,0.005415735517,0.5646624587,0.3995759105,0.4381781491,0.4493480738,281.12699151551834,20.38128110277245,20.0169663032693
1.0,0.007755391165,0.1069085605,0.6846987352,0.1387199561,0.8949702757,7.987710153483819,6.2638716264310625,6.366582812096523
1.0,0.003158537005,0.3969719231,0.4866179532,0.1567800459,0.7424199591,187.0368532506178,18.407989445614376,18.420593785722765
1.0,0.005778539021,0.9727147766,0.732230008,0.1233925586,0.1245246507,125.87759738606822,15.369950925422849,14.615705881124356
1.0,0.004110302343,3.441140202,0.1750658439,0.1040715257,0.5254831203,659.7072393410922,27.690967245961676,27.460413713820618
1.0,0.008833592432,3.759996788,0.9486690414,0.1358989189,0.5120984338,224.94473449047894,18.745209140073822,18.205578245339407
1.0,0.001347543421,1.771819889,3.236057268,0.1156295568,0.2133147082,3850.0357056869693,48.5325484695993,45.45760641179599
1.0,0.001815515677,7.843482733,2.551395906,0.1100278592,0.3763378928,8740.038133644854,64.22769529761018,60.53345162690751
1.0,0.004422263192,0.8823269129,0.1266986455,0.4248852011,0.1150605086,665.7579781460855,26.837038628250763,25.751970718041097
1.0,0.004169212518,0.1161078169,1.92305747,0.2402630625,0.7889211783,53.57209197222564,11.713311120238675,11.63301613701367
1.0,0.009760777545,1.801944856,0.3561332593,0.2483437375,0.1047252791,164.55234586719402,16.808029229642816,15.919896780071943
