repeat,random_state,method,n_samples,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score,bandwidth
3,45,SI-DL,300,0.25043677840010015,0.00043677840010014624,0.001747113600400585,0.01538626186513492,,0.9846137381348651,0.07
3,45,MI-DL,400,0.25010319429196537,0.00010319429196536944,0.0004127771678614778,0.023782057690375426,1.5317292643651381,,
3,45,SI-DL,400,0.24924345940517048,0.000756540594829519,0.003026162379318076,0.015583651694282663,,0.9844163483057173,0.057499999999999996
3,45,MI-DL,500,0.24856920555773437,0.001430794442265626,0.005723177769062504,0.0205185673274628,1.635119709212911,,
3,45,SI-DL,500,0.25010196993040434,0.00010196993040434421,0.00040787972161737684,0.017250917552627865,,0.9827490824473721,0.055
3,45,MI-DL,650,0.25321281024523407,0.0032128102452340657,0.012851240980936263,0.01567041716811062,1.7157784494690604,,
3,45,SI-DL,650,0.25115067566182986,0.0011506756618298586,0.004602702647319434,0.013996453885018245,,0.9860035461149818,0.052500000000000005
3,45,MI-DL,800,0.2538245859866743,0.0038245859866742893,0.015298343946697157,0.014177326037353657,1.7938919313179245,,
3,45,SI-DL,800,0.25079596494974155,0.0007959649497415455,0.003183859798966182,0.01576705453508187,,0.9842329454649181,0.055
3,45,MI-DL,1000,0.2509458364720481,0.0009458364720481005,0.003783345888192402,0.013350233968963888,1.8336764619227672,,
3,45,SI-DL,1000,0.25058314102338924,0.0005831410233892442,0.002332564093556977,0.0150397981388537,,0.9849602018611463,0.05
4,46,MI-DL,30,0.3400361647453419,0.09003616474534187,0.3601446589813675,0.8095285456952616,0.15056995221996683,,
4,46,SI-DL,30,0.2582189148823939,0.008218914882393902,0.03287565952957561,0.013399283583165889,,0.9866007164168341,0.09
4,46,MI-DL,40,0.22250124871600652,0.027498751283993483,0.10999500513597393,0.29430751702260916,0.21891676108841018,,
4,46,SI-DL,40,0.23162429282889108,0.018375707171108924,0.0735028286844357,0.018654328183489888,,0.9813456718165101,0.09
4,46,MI-DL,50,0.23994161810625705,0.010058381893742946,0.040233527574971784,0.4156451213671881,0.26223852175162143,,
4,46,SI-DL,50,0.24210964685447792,0.007890353145522083,0.03156141258208833,0.0,,1.0,0.09
4,46,MI-DL,60,0.2222019983002134,0.027798001699786606,0.11119200679914643,0.2654302151213349,0.3947035579901046,,
4,46,SI-DL,60,0.2537881391592712,0.0037881391592711755,0.015152556637084702,0.01493280728365498,,0.985067192716345,0.09
4,46,MI-DL,75,0.24065521228850983,0.009344787711490166,0.03737915084596066,0.2474343968617748,0.4437347010706212,,
4,46,SI-DL,75,0.25300098446895763,0.003000984468957635,0.01200393787583054,0.032671243405140604,,0.9673287565948594,0.09
4,46,MI-DL,100,0.23659626303242465,0.013403736967575353,0.05361494787030141,0.18549515222649976,0.64009731965377,,
4,46,SI-DL,100,0.2487850773313716,0.0012149226686284098,0.004859690674513639,0.04080419882470521,,0.9591958011752948,0.09
4,46,MI-DL,130,0.24487872900577828,0.005121270994221716,0.020485083976886864,0.11667692201759979,0.8113423093126944,,
4,46,SI-DL,130,0.24572736350594065,0.004272636494059345,0.01709054597623738,0.03072883410840077,,0.9692711658915992,0.08
4,46,MI-DL,160,0.24271239614801327,0.007287603851986735,0.02915041540794694,0.07246127646327372,0.9335237015422955,,
4,46,SI-DL,160,0.24877782214209854,0.001222177857901463,0.004888711431605852,0.023554064484877735,,0.9764459355151223,0.0775
4,46,MI-DL,200,0.24545575048018659,0.004544249519813415,0.01817699807925366,0.04807995602799561,1.0401770834006578,,
4,46,SI-DL,200,0.2508829132220474,0.0008829132220474212,0.0035316528881896847,0.01663879868451945,,0.9833612013154805,0.065
4,46,MI-DL,300,0.2463944486977881,0.003605551302211907,0.014422205208847627,0.03146937628299302,1.3304470164072715,,
4,46,SI-DL,300,0.2489496333504015,0.001050366649598511,0.004201466598394044,0.018393913982285737,,0.9816060860177143,0.07
4,46,MI-DL,400,0.24731226346614799,0.0026877365338520143,0.010750946135408057,0.021690567118537472,1.4860922382568713,,
4,46,SI-DL,400,0.2483094451579818,0.0016905548420181882,0.006762219368072753,0.014790429488116486,,0.9852095705118835,0.057499999999999996
4,46,MI-DL,500,0.24567820310223865,0.004321796897761354,0.017287187591045416,0.01950644350351197,1.5978203634951331,,
4,46,SI-DL,500,0.24941098869435865,0.000589011305641346,0.002356045222565384,0.015607120648956196,,0.9843928793510438,0.055
4,46,MI-DL,650,0.2471251764436752,0.0028748235563247904,0.011499294225299161,0.016127700940252884,1.6536524526640246,,
4,46,SI-DL,650,0.24959216962156688,0.0004078303784331161,0.0016313215137324644,0.014570634905473168,,0.9854293650945268,0.052500000000000005
4,46,MI-DL,800,0.25070608254362,0.0007060825436199791,0.0028243301744799165,0.014871708474357698,1.7257632720304477,,
4,46,SI-DL,800,0.2500564430156313,5.644301563129117e-05,0.00022577206252516469,0.015683175384826775,,0.9843168246151732,0.055
4,46,MI-DL,1000,0.251152549728408,0.0011525497284080033,0.004610198913632013,0.012064334126084604,1.8141740186094752,,
4,46,SI-DL,1000,0.2502070165070509,0.00020701650705090557,0.0008280660282036223,0.013831151000437747,,0.9861688489995623,0.05
5,47,MI-DL,30,0.14202206735737258,0.10797793264262742,0.4319117305705097,0.9772274028731672,0.050902369318145624,,
5,47,SI-DL,30,0.2584534966718194,0.008453496671819383,0.03381398668727753,0.20503683431834963,,0.7949631656816504,0.09
5,47,MI-DL,40,0.30021824745263326,0.05021824745263326,0.20087298981053303,0.4571566898556266,0.37389697360450835,,
5,47,SI-DL,40,0.24876132584795035,0.0012386741520496458,0.004954696608198583,0.1441858521396101,,0.8558141478603899,0.09
5,47,MI-DL,50,0.18590127813488522,0.06409872186511478,0.25639488746045913,0.4542180500087425,0.3393575928815533,,
5,47,SI-DL,50,0.25488839145114295,0.004888391451142948,0.019553565804571793,0.05173926923970862,,0.9482607307602914,0.09
5,47,MI-DL,60,0.20500537141942232,0.04499462858057768,0.1799785143223107,0.3405431234662794,0.4191310968637847,,
5,47,SI-DL,60,0.24063538750734456,0.009364612492655439,0.037458449970621754,0.035872314067636135,,0.9641276859323639,0.09
5,47,MI-DL,75,0.23095677730997394,0.019043222690026063,0.07617289076010425,0.23114075129459893,0.552630821052654,,
5,47,SI-DL,75,0.23940168068771495,0.010598319312285054,0.042393277249140215,0.024162748084854857,,0.9758372519151451,0.09
5,47,MI-DL,100,0.22586162246250618,0.024138377537493816,0.09655351014997526,0.1680660709452651,0.6368898488510579,,
5,47,SI-DL,100,0.24589716312927673,0.00410283687072327,0.01641134748289308,0.040738819440427565,,0.9592611805595724,0.09
5,47,MI-DL,130,0.24146097020541812,0.008539029794581876,0.034156119178327504,0.1103151230107584,0.8917710648836144,,
5,47,SI-DL,130,0.24958838601304045,0.000411613986959547,0.001646455947838188,0.026780969639768615,,0.9732190303602314,0.08
5,47,MI-DL,160,0.25302645917112443,0.0030264591711244293,0.012105836684497717,0.08150625820298149,1.0179138288001415,,
5,47,SI-DL,160,0.2511560340805565,0.0011560340805564784,0.0046241363222259135,0.02839608922686221,,0.9716039107731378,0.0775
5,47,MI-DL,200,0.2502132365124414,0.00021323651244137265,0.0008529460497654906,0.050963646940594895,1.1267622233739205,,
5,47,SI-DL,200,0.25404692442427323,0.004046924424273235,0.01618769769709294,0.020928195866442012,,0.979071804133558,0.065
5,47,MI-DL,300,0.2508541577798141,0.0008541577798141242,0.003416631119256497,0.03254940753846053,1.402879160532705,,
5,47,SI-DL,300,0.24843593533137456,0.0015640646686254367,0.006256258674501747,0.023541837440923974,,0.976458162559076,0.07
5,47,MI-DL,400,0.24899889186153099,0.0010011081384690146,0.004004432553876058,0.025539560820153708,1.529917312891297,,
5,47,SI-DL,400,0.25197429174762864,0.0019742917476286426,0.00789716699051457,0.02204537285795838,,0.9779546271420416,0.057499999999999996
5,47,MI-DL,500,0.24901559664932227,0.0009844033506777317,0.003937613402710927,0.024069782604065632,1.5917733986445732,,
5,47,SI-DL,500,0.25078909322732407,0.000789093227324067,0.003156372909296268,0.018528282685571273,,0.9814717173144287,0.055
5,47,MI-DL,650,0.24914176586246517,0.0008582341375348301,0.0034329365501393205,0.021828608642250065,1.6736870980741934,,
5,47,SI-DL,650,0.2494350944977276,0.0005649055022723948,0.002259622009089579,0.01942751076603033,,0.9805724892339697,0.052500000000000005
5,47,MI-DL,800,0.24794145921881072,0.0020585407811892775,0.00823416312475711,0.015104772787049699,1.7344614048635458,,
5,47,SI-DL,800,0.25071673602267347,0.0007167360226734698,0.0028669440906938792,0.016197691708311646,,0.9838023082916884,0.055
5,47,MI-DL,1000,0.25006256622327105,6.256622327105443e-05,0.00025026489308421773,0.012190166659650522,1.8089163096607752,,
5,47,SI-DL,1000,0.25032251068300526,0.00032251068300526153,0.0012900427320210461,0.01426903365800336,,0.9857309663419966,0.05
6,48,MI-DL,30,0.19610127677532163,0.05389872322467837,0.21559489289871347,0.9044268824864278,0.16828430212718182,,
6,48,SI-DL,30,0.2455226044009245,0.0044773955990755065,0.017909582396302026,0.05477687070395931,,0.9452231292960407,0.09
6,48,MI-DL,40,0.16425764008338944,0.08574235991661056,0.3429694396664422,0.5576135997292477,0.2592606936648094,,
6,48,SI-DL,40,0.24926588278074993,0.0007341172192500689,0.0029364688770002756,0.03681214705936542,,0.9631878529406346,0.09
6,48,MI-DL,50,0.2749024384127873,0.024902438412787276,0.0996097536511491,0.3131637442475628,0.47627383389659617,,
6,48,SI-DL,50,0.24378021085672757,0.006219789143272425,0.0248791565730897,0.04261215252067996,,0.95738784747932,0.09
6,48,MI-DL,60,0.2719232483839865,0.021923248383986516,0.08769299353594606,0.28568667118608027,0.4220504417782154,,
6,48,SI-DL,60,0.2576372843721419,0.007637284372141895,0.03054913748856758,0.03737729894888908,,0.9626227010511109,0.09
6,48,MI-DL,75,0.2673610224890432,0.0173610224890432,0.0694440899561728,0.28106097118530005,0.47190289700208066,,
6,48,SI-DL,75,0.25111611029826314,0.00111611029826314,0.00446444119305256,0.04032682487225836,,0.9596731751277416,0.09
6,48,MI-DL,100,0.2532458687604197,0.0032458687604197123,0.01298347504167885,0.10759049527332748,0.7958308579624314,,
6,48,SI-DL,100,0.2495325299402486,0.0004674700597513959,0.0018698802390055835,0.025247118022111437,,0.9747528819778886,0.09
6,48,MI-DL,130,0.25325541064002133,0.003255410640021328,0.013021642560085311,0.09241283820277305,0.9233237796961067,,
6,48,SI-DL,130,0.24907669149110534,0.0009233085088946602,0.003693234035578641,0.024163730937705408,,0.9758362690622946,0.08
6,48,MI-DL,160,0.23703286886155528,0.01296713113844472,0.05186852455377888,0.0656913190209154,1.039094554469445,,
6,48,SI-DL,160,0.25033768887683067,0.0003376888768306663,0.0013507555073226651,0.02423927737613052,,0.9757607226238695,0.0775
6,48,MI-DL,200,0.25626227153867265,0.006262271538672648,0.025049086154690592,0.06131821645999808,1.0914589307564393,,
6,48,SI-DL,200,0.24950255005983354,0.0004974499401664556,0.0019897997606658224,0.024138343515261562,,0.9758616564847384,0.065
6,48,MI-DL,300,0.25612838684787703,0.006128386847877032,0.024513547391508128,0.028509156614324307,1.4107025593867188,,
6,48,SI-DL,300,0.2504258641947913,0.00042586419479129223,0.001703456779165169,0.023443319952072716,,0.9765566800479273,0.07
6,48,MI-DL,400,0.24902106165471394,0.0009789383452860623,0.003915753381144249,0.024859431791047566,1.5144688848245647,,
6,48,SI-DL,400,0.24785873182438828,0.0021412681756117213,0.008565072702446885,0.018393297268603392,,0.9816067027313966,0.057499999999999996
6,48,MI-DL,500,0.24968389105341404,0.0003161089465859579,0.0012644357863438316,0.01889169140299112,1.5999434976685611,,
6,48,SI-DL,500,0.24952325446237777,0.00047674553762222516,0.0019069821504889006,0.016001359581849228,,0.9839986404181508,0.055
6,48,MI-DL,650,0.25169259160561186,0.0016925916056118595,0.006770366422447438,0.016635858929472443,1.6819032922834243,,
6,48,SI-DL,650,0.24950172697358303,0.0004982730264169732,0.001993092105667893,0.01592048757765241,,0.9840795124223476,0.052500000000000005
6,48,MI-DL,800,0.249409890688228,0.0005901093117720024,0.0023604372470880097,0.01555713389180033,1.721133028029139,,
6,48,SI-DL,800,0.24945141138841134,0.0005485886115886573,0.0021943544463546294,0.015577279115789544,,0.9844227208842105,0.055
6,48,MI-DL,1000,0.24818883004951262,0.0018111699504873846,0.007244679801949538,0.014015956250887671,1.7987682802218883,,
6,48,SI-DL,1000,0.2491417344150017,0.0008582655849982967,0.003433062339993187,0.015068175924886074,,0.9849318240751139,0.05
7,49,MI-DL,30,0.11991992914117336,0.13008007085882664,0.5203202834353066,1.085545689162222,0.12208261958824806,,
7,49,SI-DL,30,0.2695334297044345,0.019533429704434502,0.07813371881773801,0.032854612712929776,,0.9671453872870702,0.09
7,49,MI-DL,40,0.3184811879510042,0.06848118795100422,0.2739247518040169,0.7073088686521413,0.15109454020868007,,
