repeat,random_state,noise_percent,method,theta,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score
10,52,25,SI-DL,0.7782740064351736,0.2477323104081829,0.0022676895918171125,0.00907075836726845,0.0632429840250186,,0.9367570159749814
10,52,30,MI-DL,0.770799374679723,0.24535306122483966,0.004646938775160342,0.018587755100641368,0.0929580012855114,1.023924917671267,
10,52,30,SI-DL,0.7774544453136927,0.24747143600088364,0.0025285639991163567,0.010114255996465427,0.08738473600703878,,0.9126152639929612
11,53,0,MI-DL,0.7829658574650795,0.24922577297550355,0.0007742270244964489,0.0030969080979857955,0.005829289567286719,1.9940355516049557,
11,53,0,SI-DL,0.7863300333449481,0.25029662341692677,0.00029662341692676675,0.001186493667707067,0.006793298226243194,,0.9932067017737568
11,53,5,MI-DL,0.7850983822651779,0.24990457670190697,9.542329809303363e-05,0.0003816931923721345,0.011277168738182918,1.8333206054988889,
11,53,5,SI-DL,0.7851938781253992,0.24993497397830503,6.502602169497496e-05,0.0002601040867798998,0.008534240536160254,,0.9914657594638397
11,53,10,MI-DL,0.7818263057678378,0.248863042404454,0.0011369575955459954,0.004547830382183982,0.019719889926189095,1.6467947693602438,
11,53,10,SI-DL,0.7839374126804138,0.24953502860551788,0.0004649713944821221,0.0018598855779284884,0.014669589021658713,,0.9853304109783413
11,53,15,MI-DL,0.7837300038897341,0.2494690083369631,0.0005309916630369116,0.0021239666521476464,0.029384115513674022,1.481737759039361,
11,53,15,SI-DL,0.7825132989235082,0.24908171911764446,0.0009182808823555433,0.003673123529422173,0.02506274841464895,,0.974937251585351
11,53,20,MI-DL,0.7852878455687352,0.2499648847444983,3.5115255501705356e-05,0.00014046102200682142,0.0425989601354991,1.3294954775597443,
11,53,20,SI-DL,0.7808709197113173,0.24855893357754136,0.0014410664224586422,0.005764265689834569,0.039467999577468826,,0.9605320004225312
11,53,25,MI-DL,0.7817497787872331,0.2488386831099677,0.0011613168900322934,0.004645267560129174,0.0607149508939869,1.2045906403579112,
11,53,25,SI-DL,0.7789842481823894,0.24795838737790213,0.0020416126220978714,0.008166450488391486,0.05754538274681431,,0.9424546172531857
11,53,30,MI-DL,0.7734573972192184,0.24619913607686036,0.0038008639231396357,0.015203455692558543,0.08282251002687137,1.091329994104509,
11,53,30,SI-DL,0.776930561267599,0.24730467852979804,0.0026953214702019612,0.010781285880807845,0.07888121587316166,,0.9211187841268383
