U,nu,x,y,u,v,u_over_U,v_over_U,known_eta,u_over_U_clean,u_over_U_noisy,noise,MI-DL_pi1,SI-DL_pi1,Known Blasius_pi1
0.01,1e-06,0.007827586206896553,0.005674949216023738,0.00999502854200574,0.0010344543336624791,0.999502854200574,0.10344543336624791,6.414282004686025,0.999502854200574,1.0121330717547499,0.01263021755417573,6.987401648450824,6.647037595727502,6.4142820046860285
0.01,1e-06,0.007827586206896553,0.006046612497091987,0.009998316488739944,0.0010356788136922,0.9998316488739944,0.10356788136921999,6.834365604522887,0.9998316488739944,0.9863798511267369,-0.013451797747257533,7.445019950209743,7.082364804513174,6.834365604522886
0.01,1e-06,0.007827586206896553,0.006418275778160236,0.009999475390378727,0.0010361377270037785,0.9999475390378726,0.10361377270037785,7.25444920435975,0.9999475390378726,0.981816087700768,-0.018131451337104542,7.902638251968668,7.517692013298854,7.254449204359749
0.01,1e-06,0.007827586206896553,0.006789939059228486,0.009999849598192737,0.0010362947317783479,0.9999849598192736,0.10362947317783479,7.674532804196613,0.9999849598192736,1.0209859868206022,0.02100102700132856,8.360256553727595,7.953019222084535,7.674532804196614
0.01,1e-06,0.007827586206896553,0.007161602340296735,0.009999960297474863,0.0010363437877381385,0.9999960297474862,0.10363437877381385,8.094616404033475,0.9999960297474862,1.002657231733364,0.0026612019858778067,8.817874855486524,8.388346430870216,8.09461640403348
0.01,1e-06,0.007827586206896553,0.007533265621364984,0.009999990294491015,0.0010363577881176088,0.9999990294491015,0.10363577881176088,8.514700003870338,0.9999990294491015,1.0070620860095585,0.007063056560457137,9.275493157245446,8.823673639655892,8.51470000387034
0.01,1e-06,0.007827586206896553,0.007904928902433233,0.009999997741925039,0.0010363614396930176,0.9999997741925039,0.10363614396930176,8.934783603707201,0.9999997741925039,1.009379029589171,0.009379255396666968,9.733111459004371,9.259000848441572,8.934783603707205
0.01,1e-06,0.007827586206896553,0.00827659218350148,0.009999999432427131,0.0010363623083153506,0.9999999432427131,0.10363623083153506,9.354867203544062,0.9999999432427131,0.9914306202814864,-0.00856932296122667,10.190729760763293,9.694328057227247,9.354867203544064
0.01,1e-06,0.007827586206896553,0.00864825546456973,0.009999999791391479,0.0010363625013449992,0.9999999791391478,0.10363625013449992,9.774950803380927,0.9999999791391478,0.992014154234589,-0.007985824904558765,10.648348062522219,10.129655266012927,9.774950803380928
0.01,1e-06,0.007827586206896553,0.00901991874563798,0.009999999855890845,0.0010363625375103128,0.9999999855890845,0.10363625375103128,10.19503440321779,0.9999999855890845,1.0096001588653056,0.00960017327622099,11.10596636428114,10.564982474798603,10.195034403217788
0.01,1e-06,0.007827586206896553,0.009391582026706228,0.0099999998678961,0.001036362544525316,0.9999999867896099,0.10363625445253159,10.61511800305465,0.9999999867896099,0.9907509575971053,-0.009249029192504548,11.563584666040072,11.000309683584288,10.615118003054658
0.01,1e-06,0.007827586206896553,0.009763245307774478,0.009999999870726917,0.0010363625462675235,0.9999999870726917,0.10363625462675234,11.035201602891515,0.9999999870726917,1.005035811460967,0.005035824388275298,12.021202967798997,11.435636892369965,11.03520160289152
0.01,1e-06,0.007827586206896553,0.010134908588842728,0.009999999871476239,0.0010363625467679207,0.999999987147624,0.10363625467679208,11.455285202728378,0.999999987147624,0.9986592881672646,-0.0013406989803593514,12.478821269557923,11.870964101155645,11.455285202728383
0.01,1e-06,0.007827586206896553,0.010506571869910976,0.009999999871190155,0.0010363625466027345,0.9999999871190155,0.10363625466027344,11.87536880256524,0.9999999871190155,0.9821018582870099,-0.01789812883200554,12.936439571316845,12.30629130994132,11.875368802565244
0.01,1e-06,0.011241379310344829,0.0004716632810682492,0.0011636531069149042,1.4792236837438092e-05,0.11636531069149042,0.0014792236837438092,0.4448588826543768,0.11636531069149042,0.13084827060051535,0.014482959909024928,0.4880622811612543,0.4623675724182718,0.44485888265437723
0.01,1e-06,0.011241379310344829,0.0008433265621364984,0.002322466733919357,4.866793799437745e-05,0.23224667339193572,0.004866793799437745,0.7954007174251797,0.23224667339193572,0.21292345753813527,-0.01932321585380046,0.8726477175581964,0.8267059806050022,0.7954007174251806
0.01,1e-06,0.011241379310344829,0.0012149898432047476,0.0034641863433500057,0.00010089531464071355,0.3464186343350006,0.010089531464071355,1.1459425521959825,0.3464186343350006,0.34990997586666583,0.00349134153166524,1.2572331539551385,1.1910443887917326,1.1459425521959838
0.01,1e-06,0.011241379310344829,0.0015866531242729968,0.0045692891937100825,0.00016968382886283986,0.45692891937100827,0.016968382886283984,1.4964843869667852,0.45692891937100827,0.45793279529060205,0.0010038759195937928,1.6418185903520808,1.555382796978463,1.4964843869667872
0.01,1e-06,0.011241379310344829,0.0019583164053412457,0.005612954478227365,0.0002518606897023081,0.5612954478227364,0.025186068970230808,1.847026221737588,0.5612954478227364,0.5802777064184459,0.018982258595709508,2.0264040267490224,1.9197212051651933,1.8470262217375903
0.01,1e-06,0.011241379310344829,0.002329979686409495,0.0065683593266425665,0.0003428366219609123,0.6568359326642567,0.03428366219609123,2.197568056508391,0.6568359326642567,0.6400565016655099,-0.01677943099874675,2.410989463145963,2.284059613351922,2.1975680565083926
0.01,1e-06,0.011241379310344829,0.002701642967477744,0.007410985966259148,0.0004369563726139608,0.7410985966259148,0.04369563726139608,2.5481098912791933,0.7410985966259148,0.7329578979516638,-0.008140698674251018,2.7955748995429066,2.648398021538654,2.548109891279197
0.01,1e-06,0.011241379310344829,0.0030733062485459933,0.008123061914872026,0.0005282207652121687,0.8123061914872026,0.05282207652121687,2.898651726049996,0.8123061914872026,0.8108029324394632,-0.0015032590477394262,3.1801603359398487,3.012736429725384,2.89865172605
