Nu,MI-DL_raw_pi1,SI-DL_raw_pi1,Known_Ra_raw_pi1,source
715.0000001941561,11176.035034654224,11156.08197078124,11052.09379967308,"Chavanne, X."
974.0000001850841,14860.091388250705,14890.216275348621,14581.001511318298,"Chavanne, X."
1239.9999996419858,18039.15705815061,18237.933314432554,17544.106230635138,"Chavanne, X."
1699.9999994928758,21755.11684482072,21119.45955986658,21687.002477541653,"Chavanne, X."
2140.0000010411727,26831.572524279487,26146.433261293892,26590.04078746566,"Chavanne, X."
1800.0000001897604,23977.531987318325,23753.33128077778,23573.492225068272,"Chavanne, X."
1440.0000006615583,18463.295576721353,17820.60700516304,18527.61303055801,"Chavanne, X."
1520.000000192282,20318.54026281442,20353.690835023397,19865.76756659461,"Chavanne, X."
1069.9999998778655,14239.776260113198,13734.872812381176,14358.117910580908,"Chavanne, X."
897.0000002693182,11739.773310106642,11270.23646730799,11911.395905424222,"Chavanne, X."
2329.9999994576615,29653.42932804091,29131.670787365467,29201.14011367371,"Chavanne, X."
1030.0000002708007,15070.392927685418,14492.657642419297,15211.794612532894,"Chavanne, X."
1179.9999997844113,16421.68070205539,15709.02091677492,16606.89387988649,"Chavanne, X."
1270.000000052349,17189.108854500228,16392.171170490634,17402.17806358747,"Chavanne, X."
1659.9999994974219,22191.414376336586,21336.768256352887,22239.77832857825,"Chavanne, X."
1179.9999997844113,16385.758425195665,15674.658537725758,16570.566089652726,"Chavanne, X."
826.0000003989372,11667.319184477501,11130.961868455983,11864.193139511315,"Chavanne, X."
2230.0000004524545,29915.972774301077,29043.919086344587,29662.88983040424,"Chavanne, X."
2249.9999991053833,29839.381042328834,28969.55866497787,29586.946537552332,"Chavanne, X."
1149.9999998675107,17073.94111089354,16810.396210303035,16950.259692169155,"Chavanne, X."
711.9999999015803,11261.959857107871,11034.268293211839,11292.435590720108,"Chavanne, X."
2239.9999992962835,29915.972774301077,29043.919086344587,29662.88983040419,"Chavanne, X."
2230.0000004524545,29915.972774301077,29043.919086344587,29662.88983040419,"Chavanne, X."
1410.0000006917128,19802.681221022885,18134.12967250424,20432.250039942443,"Chavanne, X."
2159.999999417378,27353.9833348923,25156.349243034347,27977.871438356247,"Chavanne, X."
3670.0000000571567,44786.24641417343,42688.953886372336,44613.97380677621,"Chavanne, X."
3190.0000008231723,39840.53187869073,37883.19834317639,39811.606139314215,"Chavanne, X."
3750.0000007429976,45751.03692979608,43141.188571250874,45820.36585474555,"Chavanne, X."
4430.000000529093,51830.06081042672,48415.74254894619,52048.27229022927,"Chavanne, X."
5020.00000060314,57295.57005523841,53251.462096003896,57589.64242866295,"Chavanne, X."
3140.0000002500683,39022.51097736415,36487.240896465904,39364.96664308051,"Chavanne, X."
4159.99999990762,49426.39456791707,45853.88227123222,49866.30175853078,"Chavanne, X."
2119.9999999505435,27621.94522600304,26086.658386312472,27892.453624863327,"Chavanne, X."
3360.0000011694933,40395.829835571945,37292.30163861415,40995.829802934204,"Chavanne, X."
2099.9999991408467,25685.415724101927,25619.003115668555,25145.824675322365,"Chavanne, X."
2489.999999398606,31652.673979855175,29142.247565981274,32300.549871703188,"Chavanne, X."
3660.0000008551197,47508.679094032515,43927.84920916335,48058.95801614561,"Chavanne, X."
2379.9999996733463,32476.393559884367,29900.638271378793,33141.12890718096,"Chavanne, X."
2519.999999530636,34036.22469928957,32332.14609791323,34142.41906297069,"Chavanne, X."
2489.9999997292493,31326.695278910414,30575.29890047897,31003.13998657735,"Chavanne, X."
2240.0000005020142,28142.412924739434,27401.677164735847,27935.21844484637,"Chavanne, X."
1909.9999994926254,24471.07619870668,23782.055098063684,24384.9747572294,"Chavanne, X."
3760.000000740104,48728.00765075315,45947.63685608801,48769.991923334346,"Chavanne, X."
2270.0000003554496,31170.37635982597,29160.385091931395,31581.80368174569,"Chavanne, X."
1530.0000002019594,19993.3865036924,19378.166809020888,20033.275100812854,"Chavanne, X."
2169.9999996364927,27687.6952732385,26950.54510791603,27501.365461670586,"Chavanne, X."
5019.9999984405285,61957.07654416964,57948.29005740005,62058.26350197377,"Chavanne, X."
3430.000000048057,43143.59600544599,40499.08873380305,43409.477497321415,"Chavanne, X."
4530.0000011235,55924.853421501655,51660.713402928675,56462.1505178801,"Chavanne, X."
6889.999999331699,86534.42853165338,77924.13105077151,87893.493780031,"Chavanne, X."
5550.000000724474,68843.07574189235,61717.2770306869,70338.49525313865,"Chavanne, X."
2640.0000009061737,34289.15428196889,32065.310759240187,34705.00425924979,"Chavanne, X."
3550.000000172646,44365.80983321757,40863.13137639422,45061.632210509604,"Chavanne, X."
2059.9999994001673,27233.637108288975,25389.71299848439,27719.98496099293,"Chavanne, X."
3009.999999530026,38966.137549988474,35607.07818669842,39811.61321508335,"Chavanne, X."
4389.999998613194,54896.19954287675,49062.230073693805,56357.395556880554,"Chavanne, X."
3330.0000008372335,44496.43905941857,39695.10584862901,45852.05229819008,"Chavanne, X."
3179.999999721741,37369.999532233574,36531.181814105854,36864.84205985324,"Chavanne, X."
4139.9999989088565,50682.93688494186,48166.22252412129,50527.763160061535,"Chavanne, X."
3739.999999208406,46525.9296194443,43728.474376536884,46723.31160846078,"Chavanne, X."
5329.99999905604,67384.1939971916,62059.861097750734,67968.89219720638,"Chavanne, X."
1219.9999996390695,17859.651398333946,16698.854945883108,18291.55110858853,"Chavanne, X."
1709.999999525423,25728.249184275024,23623.968955916596,26400.13244658902,"Chavanne, X."
5500.000000838807,69618.61873675362,62896.9150873666,70873.34343852419,"Chavanne, X."
3889.9999994835957,49352.85955712549,45512.75017339983,49999.98412547719,"Chavanne, X."
3009.9999998513185,39153.48410180696,36603.13152511532,39557.63773801156,"Chavanne, X."
3919.9999993431993,49167.033758143334,46554.08007455889,49186.81682926018,"Chavanne, X."
5410.0000001850685,67757.01909054455,63003.3374598836,68040.96140839945,"Chavanne, X."
3319.9999992520734,42051.65723167121,39259.03490694196,42506.30006102282,"Chavanne, X."
6099.999999747035,70385.46888193267,63648.21653342024,71661.01311826128,"Chavanne, X."
819.0000000140819,14173.721830883638,14447.83691720448,13976.139432657048,"Chavanne, X."
551.9999999453406,9997.636116147902,10152.897962474877,9943.00486863133,"Chavanne, X."
1150.0000000447,18840.25415342355,19229.661868439016,18449.583715034212,"Chavanne, X."
