basis_direction_1_coef,basis_direction_2_coef,S_cov
-0.03833333333333333,-1.1116666666666666,0.2680381318031183
0.0,-1.1116666666666666,0.19272366742584887
0.03833333333333333,-1.1116666666666666,0.17010872746444536
0.07666666666666666,-1.1116666666666666,0.15420115906622525
0.11499999999999999,-1.1116666666666666,0.14104531990689073
0.15333333333333332,-1.1116666666666666,0.13305857326345377
0.19166666666666665,-1.1116666666666666,0.13080921444097388
0.22999999999999998,-1.1116666666666666,0.13470503736946113
0.2683333333333333,-1.1116666666666666,0.14422545948835028
0.30666666666666664,-1.1116666666666666,0.16057024535124334
0.345,-1.1116666666666666,0.18222673782291182
0.3833333333333333,-1.1116666666666666,0.20441091826442442
0.42166666666666663,-1.1116666666666666,0.22698454183542302
0.45999999999999996,-1.1116666666666666,0.24962618187136768
0.4983333333333333,-1.1116666666666666,0.27169770719298386
0.5366666666666666,-1.1116666666666666,0.2927098489156073
0.575,-1.1116666666666666,0.31279706318875217
0.6133333333333333,-1.1116666666666666,0.331855864293473
0.6516666666666666,-1.1116666666666666,0.34993492764482054
0.69,-1.1116666666666666,0.3670148260520051
0.7283333333333333,-1.1116666666666666,0.38331932430021315
0.7666666666666666,-1.1116666666666666,0.39885308540445713
0.8049999999999999,-1.1116666666666666,0.413520591447378
0.8433333333333333,-1.1116666666666666,0.42720031208546
0.8816666666666664,-1.1116666666666666,0.43991423021566656
0.9199999999999999,-1.1116666666666666,0.45188652943051166
0.9583333333333335,-1.1116666666666666,0.463330107353311
0.9966666666666666,-1.1116666666666666,0.47429587979775256
1.0349999999999997,-1.1116666666666666,0.4847325675540492
1.0733333333333333,-1.1116666666666666,0.4945866493419243
1.1116666666666668,-1.1116666666666666,0.5038415562872103
1.15,-1.1116666666666666,0.5125194302548237
-1.15,-1.0733333333333333,0.6854921508526396
-1.1116666666666666,-1.0733333333333333,0.6822797902779038
-1.0733333333333333,-1.0733333333333333,0.6788822110436632
-1.035,-1.0733333333333333,0.6752859337477447
-0.9966666666666666,-1.0733333333333333,0.6714855439183199
-0.9583333333333333,-1.0733333333333333,0.6674821884279379
-0.9199999999999999,-1.0733333333333333,0.6632795208566795
-0.8816666666666666,-1.0733333333333333,0.6588771506983813
-0.8433333333333333,-1.0733333333333333,0.65426043676874
-0.8049999999999999,-1.0733333333333333,0.6493985519643927
-0.7666666666666666,-1.0733333333333333,0.6442709007393311
-0.7283333333333333,-1.0733333333333333,0.6389060998074637
-0.69,-1.0733333333333333,0.6332743318677404
