theta1_over_pi,theta2_over_pi,delta_over_pi,S_cov
0.15833333333333333,0.09333333333333332,-0.065,0.9058631150378504
0.16666666666666666,0.10166666666666666,-0.065,0.9020859322209677
0.175,0.10999999999999999,-0.065,0.8983318189145836
0.18333333333333332,0.11833333333333332,-0.065,0.894651182266238
0.19166666666666665,0.12666666666666665,-0.065,0.8910856170919607
0.2,0.135,-0.065,0.887636313274164
0.20833333333333334,0.14333333333333334,-0.065,0.8842835238086724
0.21666666666666667,0.15166666666666667,-0.065,0.881017504606573
0.225,0.16,-0.065,0.8778457415615328
0.23333333333333334,0.16833333333333333,-0.065,0.8747772881450072
0.24166666666666667,0.17666666666666667,-0.065,0.8718171117038152
0.25,0.185,-0.065,0.8689741629342205
0.2583333333333333,0.1933333333333333,-0.065,0.8662589423927196
0.26666666666666666,0.20166666666666666,-0.065,0.8636764142621524
0.275,0.21000000000000002,-0.065,0.8612327436441582
0.2833333333333333,0.21833333333333332,-0.065,0.8589371506193312
0.2916666666666667,0.22666666666666668,-0.065,0.8567893419878216
0.3,0.235,-0.065,0.8547762875213599
0.30833333333333335,0.24333333333333335,-0.065,0.8528934438543812
0.31666666666666665,0.25166666666666665,-0.065,0.8511621818458022
0.325,0.26,-0.065,0.8496123402671678
0.3333333333333333,0.2683333333333333,-0.065,0.8482516924973038
0.3416666666666667,0.27666666666666667,-0.065,0.8470613872405007
0.35,0.285,-0.065,0.8460171852594083
0.35833333333333334,0.29333333333333333,-0.065,0.8451035495536522
0.36666666666666664,0.30166666666666664,-0.065,0.84430963423585
0.375,0.31,-0.065,0.8436217300576984
0.3833333333333333,0.3183333333333333,-0.065,0.843021288327565
0.39166666666666666,0.32666666666666666,-0.065,0.8424883797389076
0.4,0.335,-0.065,0.8420074068228303
0.4083333333333333,0.3433333333333333,-0.065,0.8415687450098834
0.4166666666666667,0.3516666666666667,-0.065,0.8411650822325536
0.425,0.36,-0.065,0.8407892609285451
0.43333333333333335,0.36833333333333335,-0.065,0.8404353882512492
0.44166666666666665,0.37666666666666665,-0.065,0.8400996336814159
0.45,0.385,-0.065,0.8397812223811143
0.4583333333333333,0.3933333333333333,-0.065,0.8394862537452917
0.4666666666666667,0.40166666666666667,-0.065,0.8392386769022581
0.475,0.41,-0.065,0.8391047620024614
0.48333333333333334,0.41833333333333333,-0.065,0.8391885181296733
0.49166666666666664,0.42666666666666664,-0.065,0.8394608966114984
0.5,0.435,-0.065,0.839298063540336
0.5083333333333333,0.4433333333333333,-0.065,0.8372397218331105
0.5166666666666666,0.4516666666666666,-0.065,0.8351910121252767
0.525,0.46,-0.065,0.8333178577246718
0.5333333333333333,0.4683333333333333,-0.065,0.8317241809238635
0.5416666666666666,0.4766666666666666,-0.065,0.8304233386324577
0.55,0.48500000000000004,-0.065,0.829427817717938
0.5583333333333333,0.49333333333333335,-0.065,0.8286050507758318
0.5666666666666667,0.5016666666666667,-0.065,0.8267627382355833
0.575,0.51,-0.065,0.8230967264463529
0.5833333333333334,0.5183333333333333,-0.065,0.8196314997532317
0.5916666666666667,0.5266666666666666,-0.065,0.8164188982339801
0.6,0.5349999999999999,-0.065,0.8134821803369041
0.6083333333333333,0.5433333333333332,-0.065,0.8107036021744142
0.6166666666666667,0.5516666666666667,-0.065,0.8080349277942
0.625,0.56,-0.065,0.8054708840085423
0.6333333333333333,0.5683333333333334,-0.065,0.8030163808107398
0.6416666666666666,0.5766666666666667,-0.065,0.8006783067237793
0.65,0.585,-0.065,0.7984728742043549
0.6583333333333333,0.5933333333333333,-0.065,0.7964310100097562
0.6666666666666666,0.6016666666666666,-0.065,0.7945959269816422
0.675,0.6100000000000001,-0.065,0.7930135978490997
0.6833333333333333,0.6183333333333334,-0.065,0.7917223965831047
0.6916666666666667,0.6266666666666667,-0.065,0.7907473518694186
0.7,0.635,-0.065,0.7900998006113321
0.7083333333333334,0.6433333333333333,-0.065,0.7897915690316963
0.7166666666666667,0.6516666666666666,-0.065,0.789853926555427
0.725,0.6599999999999999,-0.065,0.79032634707915
0.7333333333333333,0.6683333333333332,-0.065,0.791224119345391
0.7416666666666667,0.6766666666666667,-0.065,0.7925363494702076
0.75,0.685,-0.065,0.7942525136116846
0.7583333333333333,0.6933333333333334,-0.065,0.7963723018257446
0.7666666666666666,0.7016666666666667,-0.065,0.7988929779333973
0.775,0.71,-0.065,0.8018003421077581
0.7833333333333333,0.7183333333333333,-0.065,0.8050762143682487
0.7916666666666666,0.7266666666666666,-0.065,0.8087002606224939
0.8,0.7350000000000001,-0.065,0.8126444067263477
0.8083333333333333,0.7433333333333334,-0.065,0.8168846755893556
0.8166666666666667,0.7516666666666667,-0.065,0.8214162780008305
0.825,0.76,-0.065,0.8262525108136537
0.8333333333333334,0.7683333333333333,-0.065,0.831404472601954
0.8416666666666667,0.7766666666666666,-0.065,0.8368521115704349
0.85,0.7849999999999999,-0.065,0.8425341627019663
0.8583333333333333,0.7933333333333332,-0.065,0.8483741607649172
0.8666666666666667,0.8016666666666667,-0.065,0.8543255810712064
0.875,0.81,-0.065,0.8603761275273092
0.8833333333333333,0.8183333333333334,-0.065,0.8665087297289246
0.8916666666666666,0.8266666666666667,-0.065,0.8726801767159117
0.9,0.835,-0.065,0.8788304692982061
0.9083333333333333,0.8433333333333333,-0.065,0.8849014442417934
0.9166666666666666,0.8516666666666666,-0.065,0.8908775223437363
0.9249999999999999,0.8599999999999999,-0.065,0.8967612255406797
0.9333333333333333,0.8683333333333334,-0.065,0.9025152428823264
0.9416666666666667,0.8766666666666667,-0.065,0.90807927242111
0.95,0.885,-0.065,0.9133951523334922
0.9583333333333334,0.8933333333333333,-0.065,0.9184065652473637
0.9666666666666667,0.9016666666666666,-0.065,0.9230674743713775
0.975,0.9099999999999999,-0.065,0.9273483065875346
0.9833333333333333,0.9183333333333332,-0.065,0.9312127968492434
0.9916666666666667,0.9266666666666667,-0.065,0.9345756957569911
1.0,0.935,-0.065,0.937856754149041
0.0,-0.06,-0.06,
0.008333333333333333,-0.051666666666666666,-0.06,
0.016666666666666666,-0.043333333333333335,-0.06,
0.025,-0.034999999999999996,-0.06,
0.03333333333333333,-0.026666666666666665,-0.06,
0.041666666666666664,-0.018333333333333333,-0.06,
0.05,-0.009999999999999995,-0.06,
0.058333333333333334,-0.0016666666666666635,-0.06,
0.06666666666666667,0.006666666666666668,-0.06,0.9335986963168059
0.075,0.015,-0.06,0.9314665738286781
0.08333333333333333,0.02333333333333333,-0.06,0.928804105289756
0.09166666666666666,0.03166666666666666,-0.06,0.9257288124283369
0.1,0.04000000000000001,-0.06,0.9223313799812317
0.10833333333333334,0.04833333333333334,-0.06,0.918705978110524
0.11666666666666667,0.05666666666666667,-0.06,0.9149345294823523
0.125,0.065,-0.06,0.9110586806101895
0.13333333333333333,0.07333333333333333,-0.06,0.9070773159699862
0.14166666666666666,0.08166666666666667,-0.06,0.9030114742621096
0.15,0.09,-0.06,0.8989263999635202
0.15833333333333333,0.09833333333333333,-0.06,0.8948529863362767
0.16666666666666666,0.10666666666666666,-0.06,0.8907909694666172
0.175,0.11499999999999999,-0.06,0.8867813505183704
0.18333333333333332,0.12333333333333332,-0.06,0.8828921597811045
0.19166666666666665,0.13166666666666665,-0.06,0.879149951191747
0.2,0.14,-0.06,0.8755342859500785
0.20833333333333334,0.14833333333333334,-0.06,0.8720189507673536
0.21666666666666667,0.15666666666666668,-0.06,0.8686024210243282
0.225,0.165,-0.06,0.8652991052964684
0.23333333333333334,0.17333333333333334,-0.06,0.8621182777813986
0.24166666666666667,0.18166666666666667,-0.06,0.8590663783232776
0.25,0.19,-0.06,0.8561551627211983
0.2583333333333333,0.1983333333333333,-0.06,0.85339172348833
0.26666666666666666,0.20666666666666667,-0.06,0.8507787666014314
0.275,0.21500000000000002,-0.06,0.848326130083292
0.2833333333333333,0.22333333333333333,-0.06,0.8460442326581971
0.2916666666666667,0.2316666666666667,-0.06,0.8439270224964126
0.3,0.24,-0.06,0.8419588301228296
0.30833333333333335,0.24833333333333335,-0.06,0.8401464057456852
0.31666666666666665,0.25666666666666665,-0.06,0.8385246536775901
0.325,0.265,-0.06,0.8371207860939793
0.3333333333333333,0.2733333333333333,-0.06,0.8359262295560842
0.3416666666666667,0.2816666666666667,-0.06,0.8349103564945314
0.35,0.29,-0.06,0.8340489372056606
0.35833333333333334,0.29833333333333334,-0.06,0.8333285920253437
0.36666666666666664,0.30666666666666664,-0.06,0.8327360835533287
0.375,0.315,-0.06,0.8322523999562043
0.3833333333333333,0.3233333333333333,-0.06,0.8318538050336273
0.39166666666666666,0.33166666666666667,-0.06,0.8315170972240978
0.4,0.34,-0.06,0.8312257060896493
0.4083333333333333,0.34833333333333333,-0.06,0.8309692907737709
0.4166666666666667,0.3566666666666667,-0.06,0.8307386751419541
0.425,0.365,-0.06,0.8305243453214158
0.43333333333333335,0.37333333333333335,-0.06,0.8303178376023568
0.44166666666666665,0.38166666666666665,-0.06,0.8301124618551289
0.45,0.39,-0.06,0.8299047111035358
0.4583333333333333,0.3983333333333333,-0.06,0.8296976389223099
0.4666666666666667,0.4066666666666667,-0.06,0.8295114775322466
0.475,0.415,-0.06,0.8294090997328271
0.48333333333333334,0.42333333333333334,-0.06,0.8294906926406178
0.49166666666666664,0.43166666666666664,-0.06,0.8297244292391932
0.5,0.44,-0.06,0.8295030165825216
0.5083333333333333,0.4483333333333333,-0.06,0.8274099946109225
0.5166666666666666,0.4566666666666666,-0.06,0.8253190320418435
0.525,0.465,-0.06,0.823416457025255
0.5333333333333333,0.47333333333333333,-0.06,0.8218252542592348
0.5416666666666666,0.48166666666666663,-0.06,0.8205617921326627
0.55,0.49000000000000005,-0.06,0.8195505275912601
0.5583333333333333,0.49833333333333335,-0.06,0.8183919895838574
0.5666666666666667,0.5066666666666666,-0.06,0.8148535617888689
0.575,0.5149999999999999,-0.06,0.8111025762971704
0.5833333333333334,0.5233333333333334,-0.06,0.807573452791696
0.5916666666666667,0.5316666666666667,-0.06,0.8042894833845737
0.6,0.54,-0.06,0.801164196739184
0.6083333333333333,0.5483333333333333,-0.06,0.798122004716768
0.6166666666666667,0.5566666666666666,-0.06,0.7951497727999436
0.625,0.565,-0.06,0.7922572186629588
0.6333333333333333,0.5733333333333333,-0.06,0.7894521419834762
0.6416666666666666,0.5816666666666666,-0.06,0.7867425352257891
0.65,0.5900000000000001,-0.06,0.7841491405330278
0.6583333333333333,0.5983333333333334,-0.06,0.7817113090427175
0.6666666666666666,0.6066666666666667,-0.06,0.7794823300723931
0.675,0.615,-0.06,0.7775158598720332
0.6833333333333333,0.6233333333333333,-0.06,0.7758538533326564
0.6916666666666667,0.6316666666666666,-0.06,0.7745204999929441
0.7,0.6399999999999999,-0.06,0.7735244198944672
0.7083333333333334,0.6483333333333334,-0.06,0.772883119359005
0.7166666666666667,0.6566666666666667,-0.06,0.7726454029273468
0.725,0.665,-0.06,0.7728652376579929
0.7333333333333333,0.6733333333333333,-0.06,0.7735588267729542
0.7416666666666667,0.6816666666666666,-0.06,0.7747133392045292
0.75,0.69,-0.06,0.7763237183576441
0.7583333333333333,0.6983333333333333,-0.06,0.7783976998448174
0.7666666666666666,0.7066666666666666,-0.06,0.7809342202812937
0.775,0.7150000000000001,-0.06,0.7839162023452578
0.7833333333333333,0.7233333333333334,-0.06,0.7873262460527624
0.7916666666666666,0.7316666666666667,-0.06,0.791144225211728
0.8,0.74,-0.06,0.7953360344466793
0.8083333333333333,0.7483333333333333,-0.06,0.7998703649455475
0.8166666666666667,0.7566666666666666,-0.06,0.8047376809668273
0.825,0.7649999999999999,-0.06,0.8099539396146516
0.8333333333333334,0.7733333333333334,-0.06,0.8155359297546746
0.8416666666666667,0.7816666666666667,-0.06,0.8214580644770282
